Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
95,58,male,2,rent,little,moderate,15945,54,business,Bad
96,61,female,2,own,,,2012,12,education,Bad
97,34,male,2,own,moderate,moderate,2622,18,business,Bad
98,36,male,2,own,little,moderate,2337,36,radio/TV,Bad
99,36,male,3,rent,,moderate,7057,20,car,Good
100,41,male,1,rent,moderate,,1469,24,car,Good
101,24,male,2,rent,little,moderate,2323,36,radio/TV,Bad
102,24,female,2,own,little,,932,6,radio/TV,Bad
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,Bad
104,26,male,2,rent,,,2445,12,car,Bad
105,39,male,3,own,little,moderate,11938,24,vacation/others,Bad
106,39,male,3,own,little,,6458,18,car,Bad
107,32,male,2,own,little,moderate,6078,12,car,Bad
108,30,female,2,own,,little,7721,24,furniture/equipment,Bad
109,35,male,2,own,quite rich,moderate,1410,14,business,Good
110,31,male,2,own,moderate,moderate,1449,6,business,Bad
111,23,female,2,rent,little,rich,392,15,education,Good
112,28,male,1,rent,little,moderate,6260,18,car,Bad
113,25,female,2,own,little,,7855,36,car,Bad
114,35,male,2,own,quite rich,little,1680,12,radio/TV,Good
115,47,male,2,own,,,3578,48,radio/TV,Bad
116,30,female,3,own,,little,7174,42,radio/TV,Good
117,27,female,2,rent,,little,2132,10,furniture/equipment,Bad
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,Bad
119,36,male,3,own,quite rich,moderate,2366,12,car,Good
120,25,female,2,own,little,little,1835,21,radio/TV,Bad
121,41,female,3,rent,little,,3868,24,car,Good
122,24,male,1,rent,little,,1768,12,furniture/equipment,Bad
123,63,male,2,free,little,rich,781,10,car,Good
124,27,female,2,rent,,moderate,1924,18,furniture/equipment,Good
125,30,male,2,own,little,little,2121,12,car,Bad
126,40,male,1,own,little,little,701,12,radio/TV,Bad
127,30,male,2,own,little,moderate,639,12,repairs,Good
128,34,male,3,own,little,moderate,1860,12,car,Bad
129,29,female,2,own,little,little,3499,12,car,Bad
130,24,female,2,own,,moderate,8487,48,car,Bad
131,29,male,2,own,little,little,6887,36,education,Good
132,27,male,1,own,little,,2708,15,furniture/equipment,Good
133,47,male,2,free,little,,1984,18,furniture/equipment,Good
134,21,female,2,own,moderate,,10144,60,radio/TV,Good
135,38,female,2,own,,,1240,12,radio/TV,Good
136,27,male,2,own,rich,,8613,27,car,Good
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,Good
138,35,male,2,own,,moderate,2728,15,radio/TV,Good
139,44,female,1,rent,little,rich,1881,12,radio/TV,Good
140,27,male,0,own,rich,rich,709,6,car,Bad
141,30,female,3,own,little,moderate,4795,36,radio/TV,Good
142,27,male,3,own,little,little,3416,27,radio/TV,Bad
143,22,male,2,own,little,little,2462,18,furniture/equipment,Bad
144,23,female,2,own,little,,2288,21,furniture/equipment,Bad
145,30,male,2,own,moderate,moderate,3566,48,business,Good
146,39,female,2,own,little,little,860,6,car,Good
147,51,female,2,own,moderate,,682,12,car,Good
148,28,male,2,own,little,little,5371,36,furniture/equipment,Good
149,46,male,2,own,rich,,1582,18,radio/TV,Bad
150,42,male,2,free,moderate,,1346,6,radio/TV,Good
151,38,male,2,own,little,,1924,10,radio/TV,Good
152,24,male,2,own,little,rich,5848,36,radio/TV,Good
153,29,female,2,rent,rich,moderate,7758,24,car,Good
154,36,male,3,rent,moderate,moderate,6967,24,business,Good
155,20,female,2,rent,little,little,1282,12,furniture/equipment,Bad
156,48,male,2,own,moderate,little,1288,9,repairs,Good
157,45,male,1,own,little,little,339,12,education,Bad
158,38,male,2,own,moderate,moderate,3512,24,car,Good
159,34,male,1,own,,,1898,6,radio/TV,Bad
160,36,male,2,own,moderate,,2872,24,radio/TV,Good
161,30,female,2,own,little,,1055,18,car,Good
162,36,male,2,own,quite rich,,1262,15,domestic appliances,Bad
163,70,male,3,free,little,moderate,7308,10,car,Bad
164,36,male,2,own,quite rich,,909,36,car,Bad
165,32,male,2,own,quite rich,,2978,6,furniture/equipment,Good
166,33,female,2,own,little,little,1131,18,furniture/equipment,Bad
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,Good
168,25,female,2,rent,little,,3972,24,furniture/equipment,Good
169,31,male,2,own,little,moderate,1935,24,business,Bad
170,33,male,2,rent,little,little,950,15,car,Bad
171,26,female,2,own,little,,763,12,furniture/equipment,Good
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,Good
173,33,male,2,own,little,moderate,1414,8,radio/TV,Bad
174,26,male,2,own,little,little,3414,21,education,Bad
175,53,female,3,own,,,7485,30,car,Bad
176,42,male,2,own,little,little,2577,12,furniture/equipment,Good
177,52,male,2,own,quite rich,little,338,6,radio/TV,Good
178,31,male,3,rent,little,,1963,12,radio/TV,Good
179,65,male,2,own,little,little,571,21,car,Good
180,28,male,2,own,little,,9572,36,business,Good
181,30,male,3,own,little,moderate,4455,36,business,Good
182,40,male,1,own,,little,1647,21,car,Bad
183,50,male,2,own,rich,,3777,24,furniture/equipment,Good
184,36,male,2,own,little,moderate,884,18,car,Good
185,31,male,2,own,little,,1360,15,radio/TV,Good
186,74,female,3,free,little,moderate,5129,9,car,Bad
187,68,male,0,free,little,moderate,1175,16,car,Good
188,20,male,2,own,moderate,little,674,12,radio/TV,Good
189,33,female,2,own,little,moderate,3244,18,furniture/equipment,Bad
190,54,male,3,own,rich,,4591,24,business,Good
191,34,male,1,free,moderate,moderate,3844,48,business,Good
192,36,male,2,own,little,moderate,3915,27,business,Good
193,29,male,2,rent,little,,2108,6,radio/TV,Good
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,Good
195,34,female,3,own,little,moderate,1501,9,education,Bad
196,28,female,2,own,little,,1382,6,radio/TV,Bad
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,Bad
198,36,male,2,free,,moderate,2760,24,car,Good
199,40,male,3,own,little,moderate,4297,18,furniture/equipment,Good
200,52,male,2,own,quite rich,,936,9,education,Good
201,27,male,1,own,little,little,1168,12,car,Bad
202,26,male,2,own,little,,5117,27,business,Good
203,21,male,2,rent,little,little,902,12,education,Good
204,38,male,1,own,little,,1495,12,car,Bad
205,38,male,3,free,little,little,10623,30,car,Good
206,43,male,2,own,little,,1935,12,furniture/equipment,Bad
207,26,male,2,own,little,moderate,1424,12,domestic appliances,Bad
208,21,male,1,own,little,little,6568,24,business,Bad
209,55,male,2,own,rich,,1413,12,car,Good
210,33,male,2,own,,,3074,9,radio/TV,Good
211,45,female,1,own,,,3835,36,radio/TV,Good
212,50,male,2,own,little,little,5293,27,business,Good
213,66,male,3,own,little,rich,1908,30,business,Good
214,51,male,2,own,,,3342,36,radio/TV,Good
215,39,female,1,own,,moderate,932,6,education,Good
216,31,male,2,own,little,little,3104,18,business,Bad
217,23,male,2,own,little,rich,3913,36,radio/TV,Good
218,24,male,1,rent,little,little,3021,24,furniture/equipment,Bad
219,64,female,2,own,little,,1364,10,car,Good
220,26,male,1,own,little,moderate,625,12,radio/TV,Good
221,23,female,2,rent,,little,1200,12,education,Good
222,30,male,2,own,little,,707,12,radio/TV,Bad
223,32,male,2,own,,,2978,24,business,Bad
224,30,male,2,own,little,,4657,15,car,Bad
225,27,male,2,own,little,,2613,36,repairs,Bad
226,27,male,2,own,rich,moderate,10961,48,radio/TV,Good
227,53,male,3,free,little,little,7865,12,furniture/equipment,Bad
228,22,male,2,own,little,,1478,9,radio/TV,Good
229,22,male,2,free,little,little,3149,24,furniture/equipment,Good
230,26,male,2,own,little,rich,4210,36,radio/TV,Bad
231,51,male,1,free,quite rich,,2507,9,car,Bad
232,35,male,2,own,moderate,,2141,12,radio/TV,Bad
233,25,male,1,own,little,moderate,866,18,radio/TV,Bad
234,42,male,1,own,little,,1544,4,radio/TV,Bad
235,30,male,3,own,little,little,1823,24,radio/TV,Bad
236,23,male,0,own,,moderate,14555,6,car,Bad
237,61,male,1,rent,moderate,moderate,2767,21,business,Bad
238,35,female,2,own,little,,1291,12,radio/TV,Good
239,39,male,2,own,little,little,2522,30,radio/TV,Bad
240,29,female,2,own,,little,915,24,car,Bad
241,51,male,2,own,little,,1595,6,radio/TV,Good
242,24,male,2,free,little,little,4605,48,car,Bad
243,27,female,2,own,little,,1185,12,business,Good
244,35,female,1,own,quite rich,,3447,12,education,Good
245,25,male,2,own,little,,1258,24,business,Bad
246,52,male,2,own,little,,717,12,radio/TV,Good
247,35,male,2,rent,moderate,,1204,6,car,Good
248,26,male,2,own,little,rich,1925,24,furniture/equipment,Good
249,22,female,2,rent,little,,433,18,radio/TV,Good
250,39,female,1,own,rich,little,666,6,car,Bad
251,46,female,1,own,little,rich,2251,12,furniture/equipment,Good
252,24,female,2,own,little,moderate,2150,30,car,Bad
253,35,male,2,own,moderate,,4151,24,furniture/equipment,Good
254,24,male,2,own,,moderate,2030,9,furniture/equipment,Good
255,27,male,1,own,,moderate,7418,60,radio/TV,Good
256,35,male,1,own,little,,2684,24,radio/TV,Good
257,29,male,2,free,little,little,2149,12,radio/TV,Bad
258,23,female,2,own,moderate,,3812,15,car,Bad
259,57,female,1,own,moderate,,1154,11,radio/TV,Good
260,27,male,2,own,little,little,1657,12,furniture/equipment,Good
261,55,female,2,own,little,little,1603,24,radio/TV,Bad
262,36,male,3,free,little,little,5302,18,car,Good
263,57,female,1,free,little,,2748,12,education,Good
264,32,male,1,own,little,,1231,10,car,Good
265,37,male,2,own,little,moderate,802,15,radio/TV,Bad
266,36,male,2,own,,,6304,36,business,Bad
267,38,female,2,own,little,,1533,24,radio/TV,Bad
268,45,male,3,own,little,little,8978,14,car,Good
269,25,male,2,own,,,999,24,radio/TV,Good
270,32,male,2,own,,,2662,18,car,Bad
271,37,female,2,rent,quite rich,,1402,12,furniture/equipment,Bad
272,36,male,3,free,,moderate,12169,48,car,Bad
273,28,male,2,own,little,moderate,3060,48,radio/TV,Bad
274,34,male,1,own,little,little,11998,30,repairs,Good
275,32,male,2,own,little,,2697,9,radio/TV,Bad
276,26,female,2,own,little,,2404,18,radio/TV,Good
277,49,male,1,own,,little,1262,12,furniture/equipment,Bad
278,32,female,2,own,little,,4611,6,furniture/equipment,Good
279,29,male,3,rent,moderate,,1901,24,radio/TV,Bad
280,23,male,2,rent,rich,,3368,15,car,Bad
281,50,male,2,own,little,,1574,12,furniture/equipment,Bad
282,49,male,1,own,,rich,1445,18,radio/TV,Bad
283,63,male,2,own,,,1520,15,furniture/equipment,Good
284,37,male,2,own,moderate,moderate,3878,24,car,Bad
285,35,female,1,own,little,little,10722,47,car,Good
286,26,male,2,own,little,little,4788,48,car,Good
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,Good
288,49,female,2,own,little,moderate,1092,12,radio/TV,Good
289,48,male,2,own,little,little,1024,24,radio/TV,Bad
290,26,male,2,own,little,,1076,12,business,Good
291,28,male,3,rent,little,moderate,9398,36,car,Good
292,44,female,3,free,little,little,6419,24,car,Good
293,56,male,2,free,little,rich,4796,42,car,Bad
294,46,male,3,own,,,7629,48,business,Bad
295,26,female,2,own,little,moderate,9960,48,furniture/equipment,Bad
296,20,female,2,rent,,,4675,12,car,Bad
297,45,male,1,own,,,1287,10,car,Good
298,43,male,2,own,little,,2515,18,furniture/equipment,Good
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,Bad
300,54,female,0,own,little,,672,6,car,Good
301,42,female,2,own,little,moderate,3804,36,radio/TV,Good
302,37,male,1,own,,rich,1344,24,car,Good
303,49,male,2,own,little,little,1038,10,car,Bad
304,44,male,2,free,quite rich,,10127,48,car,Bad
305,33,male,2,own,rich,,1543,6,furniture/equipment,Good
306,24,female,1,rent,,,4811,30,car,Bad
307,33,male,1,own,moderate,little,727,12,radio/TV,Bad
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,Bad
309,22,male,1,rent,little,moderate,276,9,car,Bad
310,40,male,0,free,,moderate,5381,48,vacation/others,Bad
311,25,male,2,own,moderate,,5511,24,furniture/equipment,Good
312,26,female,2,own,little,rich,3749,24,furniture/equipment,Bad
313,25,male,1,own,little,moderate,685,12,car,Good
314,29,male,1,own,,rich,1494,4,car,Good
315,31,male,2,own,little,little,2746,36,furniture/equipment,Bad
316,38,male,1,own,little,little,708,12,furniture/equipment,Good
317,48,female,1,own,,moderate,4351,24,furniture/equipment,Good
318,32,male,2,own,little,,701,12,education,Good
319,27,female,1,own,little,little,3643,15,furniture/equipment,Bad
320,28,male,3,own,little,moderate,4249,30,car,Bad
321,32,male,2,own,little,little,1938,24,radio/TV,Good
322,34,male,3,free,little,little,2910,24,car,Bad
323,28,male,2,own,rich,little,2659,18,furniture/equipment,Bad
324,36,female,2,own,little,,1028,18,car,Bad
325,39,male,1,own,little,little,3398,8,car,Bad
326,49,male,2,rent,,,5801,12,furniture/equipment,Good
327,34,female,2,own,rich,,1525,24,car,Good
328,31,male,2,own,little,rich,4473,36,radio/TV,Bad
329,28,male,2,own,little,moderate,1068,6,radio/TV,Bad
330,75,male,3,free,little,little,6615,24,car,Good
331,30,female,2,own,moderate,,1864,18,education,Good
332,24,female,3,own,moderate,moderate,7408,60,car,Bad
333,24,female,1,rent,moderate,,11590,48,car,Good
334,23,male,2,rent,little,little,4110,24,furniture/equipment,Bad
335,44,male,3,rent,little,little,3384,6,furniture/equipment,Bad
336,23,female,1,own,little,moderate,2101,13,radio/TV,Good
337,24,female,2,rent,,little,1275,15,domestic appliances,Good
338,28,male,2,own,little,little,4169,24,furniture/equipment,Bad
339,31,male,1,own,little,moderate,1521,10,furniture/equipment,Bad
340,24,female,2,free,little,moderate,5743,24,education,Good
341,26,female,1,rent,little,little,3599,21,furniture/equipment,Bad
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,Good
343,33,male,3,own,little,moderate,4439,18,business,Bad
344,37,male,1,own,little,rich,3949,10,car,Good
345,43,female,1,own,little,,1459,15,radio/TV,Good
346,23,male,2,own,little,moderate,882,13,radio/TV,Good
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,Bad
348,34,male,1,own,moderate,,1743,6,business,Bad
349,32,male,2,free,rich,moderate,1136,9,education,Good
350,23,female,2,rent,little,,1236,9,domestic appliances,Bad
351,29,female,2,own,little,moderate,959,9,furniture/equipment,Good
352,38,male,3,own,,,3229,18,car,Good
353,28,male,2,rent,little,little,6199,12,radio/TV,Bad
354,46,male,2,free,quite rich,,727,10,education,Bad
355,23,male,1,own,little,moderate,1246,24,car,Good
356,49,male,2,own,,,2331,12,radio/TV,Bad
357,26,male,3,own,little,,4463,36,radio/TV,Bad
358,28,male,2,own,little,,776,12,radio/TV,Good
359,23,female,2,rent,little,little,2406,30,furniture/equipment,Good
360,61,male,2,free,,moderate,1239,18,education,Bad
361,37,male,3,own,,rich,3399,12,radio/TV,Good
362,36,female,2,own,little,rich,2247,12,car,Good
363,21,male,2,rent,little,,1766,6,furniture/equipment,Bad
364,25,male,0,own,little,little,2473,18,furniture/equipment,Good
365,36,male,2,own,little,,1542,12,business,Good
366,27,male,2,own,little,,3850,18,car,Bad
367,22,female,2,rent,little,little,3650,18,furniture/equipment,Bad
368,42,male,2,own,little,little,3446,36,furniture/equipment,Good
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,Good
370,36,male,2,own,,,3079,36,car,Bad
371,33,male,2,own,little,,6070,18,radio/TV,Bad
372,23,female,2,rent,little,,2146,10,furniture/equipment,Bad
373,63,male,3,free,,,13756,60,car,Bad
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,Good
375,37,female,2,rent,little,little,7685,48,business,Bad
376,34,male,2,own,little,,2320,18,radio/TV,Bad
377,36,male,2,free,,,846,7,radio/TV,Good
378,57,male,3,free,little,moderate,14318,36,car,Bad
379,52,female,1,own,moderate,,362,6,car,Good
380,39,male,2,own,,little,2212,20,furniture/equipment,Bad
381,38,female,3,free,little,moderate,12976,18,car,Bad
382,25,female,2,rent,,,1283,22,car,Bad
383,26,male,2,own,little,rich,1330,12,car,Good
384,26,male,1,own,moderate,,4272,30,business,Good
385,25,female,2,own,little,,2238,18,radio/TV,Bad
386,21,female,2,rent,,,1126,18,radio/TV,Good
387,40,male,3,own,little,moderate,7374,18,furniture/equipment,Good
388,27,male,2,own,quite rich,moderate,2326,15,business,Good
389,27,female,2,own,little,,1449,9,business,Good
390,30,male,3,own,little,,1820,18,car,Good
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,Good
392,39,male,3,free,little,little,3249,36,car,Bad
393,31,female,2,own,little,little,1957,6,radio/TV,Bad
394,31,male,3,own,little,,2406,9,furniture/equipment,Good
395,32,male,2,rent,moderate,moderate,11760,39,education,Bad
396,55,female,3,free,little,little,2578,12,furniture/equipment,Bad
397,46,male,2,own,little,little,2348,36,furniture/equipment,Bad
398,46,male,2,rent,little,moderate,1223,12,car,Bad
399,43,female,1,own,rich,,1516,24,radio/TV,Good
400,39,male,2,own,little,,1473,18,radio/TV,Bad
401,28,male,2,own,,moderate,1887,18,business,Bad
402,27,male,2,own,little,,8648,24,business,Good
403,27,male,1,own,little,,802,14,car,Good
404,43,male,2,own,,moderate,2899,18,car,Bad
405,22,male,2,own,little,moderate,2039,24,radio/TV,Bad
406,43,male,2,own,,,2197,24,car,Bad
407,27,male,2,own,little,little,1053,15,radio/TV,Bad
408,26,male,3,own,quite rich,,3235,24,radio/TV,Bad
409,28,male,2,own,quite rich,rich,939,12,car,Bad
410,20,female,2,own,little,moderate,1967,24,radio/TV,Good
411,35,male,3,own,little,,7253,33,car,Bad
412,42,male,3,own,little,,2292,12,business,Bad
413,40,male,1,rent,quite rich,,1597,10,car,Good
414,35,female,2,own,,little,1381,24,car,Good
415,35,male,2,own,little,,5842,36,car,Good
416,33,male,1,own,little,little,2579,12,car,Good
417,23,female,2,rent,,little,8471,18,education,Bad
418,31,female,3,own,quite rich,,2782,21,car,Bad
419,33,female,2,own,,moderate,1042,18,car,Bad
420,20,female,2,rent,rich,,3186,15,car,Bad
421,30,male,2,own,,moderate,2028,12,car,Bad
422,47,male,1,own,little,moderate,958,12,car,Bad
423,34,male,3,own,moderate,,1591,21,furniture/equipment,Good
424,25,female,2,own,,moderate,2762,12,furniture/equipment,Bad
425,21,male,2,rent,little,moderate,2779,18,car,Good
426,29,male,2,own,little,,2743,28,radio/TV,Good
427,46,male,2,own,rich,,1149,18,radio/TV,Bad
428,20,male,2,own,little,,1313,9,furniture/equipment,Good
429,55,female,0,free,little,little,1190,18,repairs,Bad
430,74,male,1,own,little,,3448,5,business,Good
431,29,male,3,own,little,moderate,11328,24,vacation/others,Bad
432,36,male,3,free,little,little,1872,6,furniture/equipment,Good
433,33,male,2,own,little,,2058,24,repairs,Bad
434,25,male,2,own,little,little,2136,9,furniture/equipment,Bad
435,25,male,2,own,,moderate,1484,12,radio/TV,Bad
436,23,male,1,rent,quite rich,,660,6,repairs,Bad
437,37,female,2,own,rich,,1287,24,car,Bad
438,65,male,0,own,little,little,3394,42,repairs,Good
439,26,female,0,own,little,rich,609,12,business,Good
440,39,male,3,own,little,,1884,12,car,Good
441,30,female,2,own,little,little,1620,12,furniture/equipment,Bad
442,29,male,2,own,little,moderate,2629,20,vacation/others,Good
443,41,male,1,own,little,,719,12,education,Bad
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,Bad
445,41,female,1,rent,,,1244,9,education,Good
446,34,female,2,own,little,little,1842,36,car,Good
447,35,male,2,own,little,moderate,2576,7,radio/TV,Bad
448,55,female,3,own,,rich,1424,12,furniture/equipment,Good
449,61,male,2,own,rich,moderate,1512,15,repairs,Bad
450,30,male,3,own,,,11054,36,car,Bad
451,29,female,2,own,little,,518,6,radio/TV,Bad
452,34,male,2,own,little,,2759,12,furniture/equipment,Bad
453,35,male,3,own,little,,2670,24,car,Bad
454,31,male,2,own,little,little,4817,24,car,Good
455,29,female,3,own,little,,2679,24,car,Good
456,36,male,2,rent,little,little,3905,11,car,Bad
457,35,male,2,free,little,little,3386,12,car,Bad
458,27,female,2,own,little,little,343,6,domestic appliances,Good
459,32,male,2,own,little,,4594,18,radio/TV,Good
460,37,male,2,own,little,little,3620,36,furniture/equipment,Bad
461,36,male,2,own,little,little,1721,15,car,Good
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,Bad
463,38,male,2,own,,moderate,754,12,education,Good
464,34,male,2,own,little,,1950,18,business,Bad
465,63,male,2,own,little,little,2924,24,car,Good
466,29,female,1,rent,little,little,1659,24,radio/TV,Bad
467,32,male,2,own,,,7238,48,radio/TV,Good
468,26,female,2,own,little,,2764,33,business,Good
469,35,male,1,own,little,,4679,24,car,Bad
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,Good
471,23,female,2,own,little,little,448,6,education,Bad
472,28,male,1,own,little,little,654,9,car,Good
473,36,male,3,own,,,1238,6,education,Bad
474,33,male,2,own,little,moderate,1245,18,radio/TV,Good
475,26,female,2,rent,little,little,3114,18,furniture/equipment,Bad
476,24,male,2,own,quite rich,,2569,39,car,Good
477,25,male,2,own,little,rich,5152,24,radio/TV,Bad
478,39,male,1,own,moderate,moderate,1037,12,business,Good
479,44,male,2,own,little,little,1478,15,furniture/equipment,Bad
480,23,female,1,own,little,moderate,3573,12,radio/TV,Bad
481,26,male,2,own,little,moderate,1201,24,car,Bad
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,Good
483,30,female,2,own,rich,,960,15,furniture/equipment,Bad
484,44,male,2,own,quite rich,,1163,12,car,Good
485,47,male,3,own,little,moderate,1209,6,car,Bad
486,52,male,2,own,little,,3077,12,radio/TV,Good
487,62,female,2,free,little,,3757,24,car,Bad
488,35,male,1,rent,moderate,,1418,10,car,Good
489,26,male,2,rent,little,,3518,6,car,Good
490,26,male,2,own,little,,1934,12,radio/TV,Bad
491,42,female,3,free,little,moderate,8318,27,business,Good
492,27,female,2,own,moderate,,1237,6,radio/TV,Good
493,38,male,2,own,,moderate,368,6,radio/TV,Bad
494,39,male,1,rent,little,little,2122,12,car,Good
495,20,male,2,own,,little,2996,24,furniture/equipment,Good
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,Good
497,40,male,2,own,little,,1585,24,furniture/equipment,Bad
498,32,male,1,own,little,moderate,1301,18,radio/TV,Good
499,28,male,2,own,moderate,rich,1323,6,car,Bad
500,27,female,2,own,little,little,3123,24,car,Good
501,42,male,2,free,little,little,5493,36,car,Good
502,49,male,2,own,moderate,rich,1126,9,radio/TV,Good
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,Bad
